"Estimator","Version","etahat_0","etahat_1","rdhat","rrhat","cov_00","cov_01","cov_11","var_rd","var_rr","eta_0","eta_1","rd","rr","seed","n_trial","n_aux","run_id","replicate"
"AIPW","Naive",0.444033199565617,0.346801253993681,-0.0972319455719367,0.78102550514904,0.00278615225023866,0.000459233773138966,0.00322718792551474,0.00509487262947546,0.0213495613376296,0.50831810883068,0.344751625022635,-0.163566483808045,0.67822023066558,91000001,500,500,"hal_aipw_mc20",1
"AIPW","Proposed",0.444791529240997,0.299980752241682,-0.144810776999315,0.674430002643208,0.00241707270161343,0.000275363982989331,0.00373448106501211,0.00560082580064687,0.0225560270141261,0.50831810883068,0.344751625022635,-0.163566483808045,0.67822023066558,91000001,500,500,"hal_aipw_mc20",1
"AIPW","Naive",0.453724586786066,0.383779898731882,-0.0699446880541845,0.845843293285837,0.000251358686461612,2.87696591106446e-05,0.000340376008336041,0.000534195376576364,0.0022905266194481,0.495193981564496,0.34646385329163,-0.148730128272866,0.699652795046147,91000002,5000,500,"hal_aipw_mc20",1
"AIPW","Proposed",0.48596501672808,0.348925964306238,-0.137039052421842,0.718006342628318,0.000667453620063062,0.000366836793131601,0.000994039932341718,0.000927819966141577,0.00343557427471291,0.495193981564496,0.34646385329163,-0.148730128272866,0.699652795046147,91000002,5000,500,"hal_aipw_mc20",1
"AIPW","Naive",0.458648933145183,0.400543382482064,-0.0581055506631187,0.873311488452268,0.00270535723063213,0.000680531801330956,0.00414231684445674,0.00548661047242696,0.0238496612125551,0.51478774903232,0.339585394807329,-0.175202354224991,0.659660987359683,91000003,500,5000,"hal_aipw_mc20",1
"AIPW","Proposed",0.49262673410623,0.346234010096242,-0.146392724009988,0.702832359929496,0.00204798727416549,1.6445578210612e-05,0.00371332037564223,0.00572841649338649,0.0193746217099888,0.51478774903232,0.339585394807329,-0.175202354224991,0.659660987359683,91000003,500,5000,"hal_aipw_mc20",1
"AIPW","Naive",0.449100324987343,0.383810216807382,-0.0652901081799611,0.854620216135891,0.000258292265995296,3.77944031645392e-05,0.000342715709074483,0.000525419168740701,0.0023142636478205,0.492883395778196,0.350036746601997,-0.142846649176199,0.710181656757449,91000004,5000,5000,"hal_aipw_mc20",1
"AIPW","Proposed",0.508412370897287,0.345376367355648,-0.163036003541639,0.679323295666665,0.000224015772798881,2.10269143476316e-05,0.000438823374128786,0.000620785318232403,0.00198710856363114,0.492883395778196,0.350036746601997,-0.142846649176199,0.710181656757449,91000004,5000,5000,"hal_aipw_mc20",1
"AIPW","Naive",0.444431874526466,0.345044495781993,-0.099387378744473,0.776372073109363,0.00249377887597352,0.000479604178455002,0.00304670601716388,0.0045812765362274,0.0192645988880998,0.48428801665316,0.351157957198836,-0.133130059454323,0.725101479127308,91000005,500,500,"hal_aipw_mc20",2
"AIPW","Proposed",0.492027932953994,0.286248534911667,-0.205779398042327,0.581772935518342,0.0019193290368372,0.000254613008016585,0.00434191203432217,0.0057520150551262,0.0193946255820866,0.48428801665316,0.351157957198836,-0.133130059454323,0.725101479127308,91000005,500,500,"hal_aipw_mc20",2
"AIPW","Naive",0.440604183850737,0.399576517451774,-0.0410276663989627,0.906883166563707,0.000253160227578828,3.47564430135357e-05,0.000359772383936098,0.000543419725487855,0.00260101659554287,0.496118215879016,0.346101695352561,-0.150016520526455,0.697619406574988,91000006,5000,500,"hal_aipw_mc20",2
"AIPW","Proposed",0.497281673403237,0.366014389863424,-0.131267283539813,0.736030321323804,0.000687624960827363,0.000360432586564989,0.000871149215147933,0.000837909002845316,0.00288360902222658,0.496118215879016,0.346101695352561,-0.150016520526455,0.697619406574988,91000006,5000,500,"hal_aipw_mc20",2
"AIPW","Naive",0.461360513286759,0.522753670794158,0.0613931575073994,1.13306981360418,0.00287513305404941,0.00088328905224346,0.00395434211271474,0.00506289706227724,0.0265154986961,0.49168189116932,0.348617221652308,-0.143064669517012,0.709030021063467,91000007,500,5000,"hal_aipw_mc20",2
"AIPW","Proposed",0.463350218109803,0.40287006568281,-0.060480152426993,0.86947205361483,0.00226650357779723,2.83902762672482e-05,0.00611000610963072,0.00831972913489345,0.0362101081518078,0.49168189116932,0.348617221652308,-0.143064669517012,0.709030021063467,91000007,500,5000,"hal_aipw_mc20",2
"AIPW","Naive",0.459578035309337,0.375172324619756,-0.0844057106895815,0.816340851379529,0.00027276434693581,4.7121551834414e-05,0.000371813657700969,0.00055033490096795,0.00225675041123845,0.504898441866956,0.341733669999494,-0.163164771867462,0.676836451972144,91000008,5000,5000,"hal_aipw_mc20",2
"AIPW","Proposed",0.503977744939047,0.334991530995571,-0.168986213943475,0.664695086954855,0.000256977592747374,2.2968704978839e-05,0.000599378174107729,0.000810418356897425,0.00268660949569123,0.504898441866956,0.341733669999494,-0.163164771867462,0.676836451972144,91000008,5000,5000,"hal_aipw_mc20",2
"AIPW","Naive",0.459258977311398,0.279781100075351,-0.179477877236047,0.609201156422136,0.00273427490001553,0.000347517233875855,0.00353088240894431,0.00557012284120812,0.0195441425176694,0.51293928040328,0.337448247941864,-0.175491032461417,0.65787172250984,91000009,500,500,"hal_aipw_mc20",3
"AIPW","Proposed",0.49957755854492,0.18575999690848,-0.31381756163644,0.371834150135823,0.0025120914224119,0.000254218031950741,0.00374757529609914,0.00575123065460956,0.0156498123873709,0.51293928040328,0.337448247941864,-0.175491032461417,0.65787172250984,91000009,500,500,"hal_aipw_mc20",3
"AIPW","Naive",0.463651775093127,0.361746234516336,-0.101905540576791,0.780211041883054,0.000249449659229335,2.5626512105818e-05,0.000329299038565525,0.000527495673583224,0.00205215648767854,0.49907576568548,0.345072664431631,-0.154003101253849,0.691423403333708,91000010,5000,500,"hal_aipw_mc20",3
"AIPW","Proposed",0.50305026498731,0.341557931237301,-0.161492333750009,0.678973762683371,0.000641183435933967,0.000324647258286347,0.000804706200307826,0.000796595119669098,0.00260587366453362,0.49907576568548,0.345072664431631,-0.154003101253849,0.691423403333708,91000010,5000,500,"hal_aipw_mc20",3
"AIPW","Naive",0.427128226345306,0.363784657921705,-0.0633435684236015,0.85169894070079,0.00245417070870955,0.000428390057022665,0.00283474019851728,0.0044321307931815,0.0212962427041893,0.5046211715726,0.341301392251294,-0.163319779321306,0.676351709912731,91000011,500,5000,"hal_aipw_mc20",3
"AIPW","Proposed",0.457084355191992,0.347094413035683,-0.10998994215631,0.759366206900453,0.00156974707400348,5.36901004882093e-06,0.00200618845853375,0.00356519751243959,0.0138958634723103,0.5046211715726,0.341301392251294,-0.163319779321306,0.676351709912731,91000011,500,5000,"hal_aipw_mc20",3
"AIPW","Naive",0.462843132058921,0.337297246191707,-0.125545885867214,0.728750677775571,0.000277018302774345,3.73537149851335e-05,0.000331717090325097,0.000534027963129175,0.001981069663074,0.500369693725808,0.34592766975152,-0.154442023974288,0.691344168300251,91000012,5000,5000,"hal_aipw_mc20",3
"AIPW","Proposed",0.503633954271037,0.322432729437585,-0.181201224833451,0.640212453316967,0.000301961321528981,1.8885461699183e-05,0.000500087936104657,0.000764278334235272,0.00236419760104719,0.500369693725808,0.34592766975152,-0.154442023974288,0.691344168300251,91000012,5000,5000,"hal_aipw_mc20",3
"AIPW","Naive",0.387675328178888,0.280066511090209,-0.107608817088679,0.722425418212261,0.00242504070268031,0.000311019038123549,0.00324508944019747,0.00504809206663068,0.0270229557496254,0.49260612548384,0.346184173047667,-0.146421952436173,0.702760593380042,91000013,500,500,"hal_aipw_mc20",4
"AIPW","Proposed",0.447108985788043,0.199187418910842,-0.247921566877202,0.44550081801592,0.00182227813512624,0.000195467199950687,0.00371494487558519,0.00514628861081005,0.0195213946328418,0.49260612548384,0.346184173047667,-0.146421952436173,0.702760593380042,91000013,500,500,"hal_aipw_mc20",4
"AIPW","Naive",0.430543308466921,0.371658685056173,-0.0588846234107478,0.863231823018167,0.00024842966758446,2.62777487174587e-05,0.000353052506604005,0.000548926676753547,0.002658540212891,0.49953788284274,0.34603750802358,-0.15350037481916,0.692715247248859,91000014,5000,500,"hal_aipw_mc20",4
"AIPW","Proposed",0.499185884327143,0.327562589587219,-0.171623294739925,0.656193614185912,0.000668527665612591,0.000311129472053161,0.00088365538960238,0.000929924111108648,0.00306274323447749,0.49953788284274,0.34603750802358,-0.15350037481916,0.692715247248859,91000014,5000,500,"hal_aipw_mc20",4
"AIPW","Naive",0.490830068454747,0.418263406008459,-0.072566662446288,0.852155222122505,0.00359358174765336,0.000834341907923123,0.00454337677045942,0.00646827470226653,0.0237883285233555,0.51293928040328,0.342347926855575,-0.170591353547705,0.667423884141639,91000015,500,5000,"hal_aipw_mc20",4
"AIPW","Proposed",0.4540602083254,0.331293416063795,-0.122766792261605,0.729624419822262,0.00290331817868401,2.96966697316186e-05,0.00489932055196639,0.00774324539118716,0.0310498689054013,0.51293928040328,0.342347926855575,-0.170591353547705,0.667423884141639,91000015,500,5000,"hal_aipw_mc20",4
"AIPW","Naive",0.44600504453978,0.36608435147241,-0.0799206930673704,0.820807647703092,0.000283306396784965,4.1549354963096e-05,0.000365489015978122,0.000565696702836895,0.00245400357048563,0.498890918822576,0.345708815611998,-0.153182103210578,0.692954717291505,91000016,5000,5000,"hal_aipw_mc20",4
"AIPW","Proposed",0.497246411972606,0.333586407194755,-0.163660004777851,0.67086739926669,0.000251232236306027,2.01332833057427e-05,0.000456394468910642,0.000667360138605183,0.00219390305383747,0.498890918822576,0.345708815611998,-0.153182103210578,0.692954717291505,91000016,5000,5000,"hal_aipw_mc20",4
"AIPW","Naive",0.503418494874906,0.320184526735446,-0.18323396813946,0.636020587235295,0.00299016928556046,0.000395880669863192,0.00276038147896247,0.00495878942479655,0.0136779083427985,0.50739387451616,0.341456667943933,-0.165937206572227,0.672961746472675,91000017,500,500,"hal_aipw_mc20",5
"AIPW","Proposed",0.543713613411593,0.240732369119099,-0.302981244292494,0.442755824355025,0.0024307139856433,0.000336275437838265,0.00172909393694187,0.00348725704690864,0.00645351666131858,0.50739387451616,0.341456667943933,-0.165937206572227,0.672961746472675,91000017,500,500,"hal_aipw_mc20",5
"AIPW","Naive",0.452467888838953,0.378704772317765,-0.0737631165211879,0.836976018982327,0.000253837943656177,2.94635093021787e-05,0.000366283387484895,0.000561194312536715,0.00241679519643123,0.501016657745972,0.346081946419077,-0.154934711326895,0.690759361127967,91000018,5000,500,"hal_aipw_mc20",5
"AIPW","Proposed",0.522499723018052,0.346300916477677,-0.176198806540375,0.662777224985653,0.000729527595605062,0.000350927424846715,0.00090602058290288,0.000933693328814512,0.00278861831955377,0.501016657745972,0.346081946419077,-0.154934711326895,0.690759361127967,91000018,5000,500,"hal_aipw_mc20",5
"AIPW","Naive",0.446098161528761,0.394099396300887,-0.0519987652278741,0.883436495120993,0.00286361520571454,0.000473059929469206,0.00293765495449475,0.00485515030127088,0.0217923497004264,0.49260612548384,0.350004410487718,-0.142601714996122,0.710515749563491,91000019,500,5000,"hal_aipw_mc20",5
"AIPW","Proposed",0.502843739605068,0.32274423173224,-0.180099507872829,0.641838023052095,0.00204970347601855,1.52929580752681e-05,0.0024222665410692,0.00444138410093722,0.0128416042145639,0.49260612548384,0.350004410487718,-0.142601714996122,0.710515749563491,91000019,500,5000,"hal_aipw_mc20",5
"AIPW","Naive",0.459719943601417,0.360917746891936,-0.098802196709481,0.78508176970642,0.000274487756513442,3.85338116929037e-05,0.000353437157165132,0.000550857290292767,0.00218656630600721,0.501109081177424,0.345528076193333,-0.155581004984091,0.689526670283978,91000020,5000,5000,"hal_aipw_mc20",5
"AIPW","Proposed",0.51341407113997,0.331850119596178,-0.181563951543792,0.646359611569172,0.000233152626182143,2.02650133008004e-05,0.000458476441257133,0.000651099040837675,0.00200947719021463,0.501109081177424,0.345528076193333,-0.155581004984091,0.689526670283978,91000020,5000,5000,"hal_aipw_mc20",5
"AIPW","Naive",0.414476054474288,0.334287986445948,-0.0801880680283398,0.806531481945203,0.00270218686264169,0.000373952379447444,0.00298800892094524,0.00494229102469204,0.0241140012332072,0.51109081177424,0.341848940997462,-0.169241870776778,0.668861449124356,91000021,500,500,"hal_aipw_mc20",6
"AIPW","Proposed",0.42694212051203,0.312030593569044,-0.114911526942986,0.730849870691668,0.0024298264120072,0.000202043317817895,0.00331921631064789,0.0053449560870193,0.0237095180216494,0.51109081177424,0.341848940997462,-0.169241870776778,0.668861449124356,91000021,500,500,"hal_aipw_mc20",6
"AIPW","Naive",0.477858665196914,0.381525589085163,-0.0963330761117515,0.79840676097805,0.000252705380155084,3.00964912839785e-05,0.000320921838056015,0.000513434235643142,0.00190038681615962,0.498890918822576,0.346889136000923,-0.152001782821653,0.695320605994613,91000022,5000,500,"hal_aipw_mc20",6
"AIPW","Proposed",0.526450271954429,0.349820207242298,-0.176630064712131,0.664488605815707,0.000779387979521135,0.000375108889199612,0.000823672145644148,0.000852842346766058,0.00241492403922876,0.498890918822576,0.346889136000923,-0.152001782821653,0.695320605994613,91000022,5000,500,"hal_aipw_mc20",6
"AIPW","Naive",0.402681823701796,0.41010279569224,0.00742097199044339,1.01842887250838,0.00288939787360428,0.000641448762359357,0.00402425376916766,0.00563075411805324,0.0352420371791589,0.48890918822576,0.352906951512199,-0.136002236713561,0.721825156923089,91000023,500,5000,"hal_aipw_mc20",6
"AIPW","Proposed",0.416344041571759,0.34536166034358,-0.0709823812281795,0.829510274819328,0.00250485288011025,1.77173179176904e-05,0.00503367951178825,0.00750309775606311,0.0388124606446287,0.48890918822576,0.352906951512199,-0.136002236713561,0.721825156923089,91000023,500,5000,"hal_aipw_mc20",6
"AIPW","Naive",0.454029373259162,0.381638675951066,-0.0723906973080959,0.840559440486299,0.000293822736003322,4.46075845955791e-05,0.000371846630532825,0.000576454197344989,0.00244710879216794,0.497874261076604,0.346732499841981,-0.151141761234623,0.696425838709168,91000024,5000,5000,"hal_aipw_mc20",6
"AIPW","Proposed",0.497717636970678,0.363629214811183,-0.134088422159495,0.730593388300214,0.000305006912323095,2.30368500802036e-05,0.000538417422966966,0.000797350635129654,0.00269478098365595,0.497874261076604,0.346732499841981,-0.151141761234623,0.696425838709168,91000024,5000,5000,"hal_aipw_mc20",6
"AIPW","Naive",0.423145821069599,0.553696121051352,0.130550299981753,1.3085231933799,0.00244089812231545,0.00066477189339944,0.0040488747493271,0.00516022908484368,0.0362381211636953,0.51201504608876,0.336945664179506,-0.175069381909254,0.65807766149336,91000025,500,500,"hal_aipw_mc20",7
"AIPW","Proposed",0.432617375903814,0.515295872853705,0.0826784969498915,1.19111228895317,0.0020361167194354,0.000259120262484082,0.00418799205183548,0.00570586824630272,0.0345133738163344,0.51201504608876,0.336945664179506,-0.175069381909254,0.65807766149336,91000025,500,500,"hal_aipw_mc20",7
"AIPW","Naive",0.432766775211314,0.374311920663318,-0.0584548545479961,0.864927582484923,0.000260822359050289,2.89605887338592e-05,0.000316057806244471,0.000518958987827042,0.00246189599696013,0.499815153137096,0.344979455641993,-0.154835697495103,0.690214079098493,91000026,5000,500,"hal_aipw_mc20",7
"AIPW","Proposed",0.481021834734283,0.337803131758051,-0.143218702976232,0.702261534436694,0.000660370307441254,0.000337296815143948,0.000883791933140028,0.000869568610293386,0.00317970462765314,0.499815153137096,0.344979455641993,-0.154835697495103,0.690214079098493,91000026,5000,500,"hal_aipw_mc20",7
"AIPW","Naive",0.538112659788661,0.453816289774431,-0.08429637001423,0.843348101032716,0.00300740704373349,0.000959915552973527,0.00387467818326858,0.00496225412105502,0.0151764367925805,0.50369693725808,0.34738433516553,-0.15631260209255,0.689669341760441,91000027,500,5000,"hal_aipw_mc20",7
"AIPW","Proposed",0.547637839032996,0.400816220165017,-0.146821618867979,0.73190015663046,0.00205573573703353,1.47264869706742e-05,0.00384025791220708,0.00586654067529926,0.0164047855761417,0.50369693725808,0.34738433516553,-0.15631260209255,0.689669341760441,91000027,500,5000,"hal_aipw_mc20",7
"AIPW","Naive",0.48414471048013,0.385897828748274,-0.0982468817318557,0.797071248316596,0.000282366479780018,4.73266730143236e-05,0.000377349560020871,0.000565062693772241,0.00205335283707114,0.499722729705644,0.344758173956639,-0.154964555749005,0.689898924869226,91000028,5000,5000,"hal_aipw_mc20",7
"AIPW","Proposed",0.521236593574346,0.3627871532147,-0.158449440359646,0.696012439815307,0.000247431685711544,2.38096483385464e-05,0.000514899299006964,0.000714711688041415,0.00221438099555096,0.499722729705644,0.344758173956639,-0.154964555749005,0.689898924869226,91000028,5000,5000,"hal_aipw_mc20",7
"AIPW","Naive",0.408843174319924,0.403855023984506,-0.00498815033541788,0.987799355232687,0.00214170657119298,0.000231067030391023,0.0034313581133949,0.00511093062380583,0.0302993975718254,0.51109081177424,0.344389306995916,-0.166701504778324,0.673831927833679,91000029,500,500,"hal_aipw_mc20",8
"AIPW","Proposed",0.415588743178595,0.369878379177283,-0.0457103640013125,0.890010581971733,0.00158363004774338,0.000204030562846012,0.00274743508761206,0.00392300400966341,0.0210676580065099,0.51109081177424,0.344389306995916,-0.166701504778324,0.673831927833679,91000029,500,500,"hal_aipw_mc20",8
"AIPW","Naive",0.4555403734358,0.366410274622069,-0.0891300988137306,0.804342042964295,0.000250716825411493,2.70388043935772e-05,0.000333037589990335,0.000529676806614673,0.00217691041526915,0.50554540588712,0.341677010732201,-0.163868395154919,0.675858205323088,91000030,5000,500,"hal_aipw_mc20",8
"AIPW","Proposed",0.510858432763183,0.353602101191532,-0.157256331571651,0.69217238771793,0.000668075281324754,0.000346931280575224,0.000911124465636866,0.000885337185811171,0.00287738182932923,0.50554540588712,0.341677010732201,-0.163868395154919,0.675858205323088,91000030,5000,500,"hal_aipw_mc20",8
"AIPW","Naive",0.506157446743042,0.493926797863706,-0.0122306488793357,0.975836275929484,0.00283498213919589,0.00110862546015318,0.00520992079339731,0.00582765201228684,0.0224277164290033,0.49353035979836,0.348807235663748,-0.144723124134612,0.706759429766913,91000031,500,5000,"hal_aipw_mc20",8
"AIPW","Proposed",0.542268089532153,0.418188819408465,-0.124079270123687,0.771184636310173,0.00159487797984114,2.09658263557937e-05,0.0114072069712419,0.0129601532983715,0.0419084806884891,0.49353035979836,0.348807235663748,-0.144723124134612,0.706759429766913,91000031,500,5000,"hal_aipw_mc20",8
"AIPW","Naive",0.442117411624256,0.396799915754027,-0.0453174958702288,0.89749895688627,0.000270016739125329,4.38871729076534e-05,0.000363893704705853,0.000546136098015876,0.00257134920294767,0.500277270294356,0.345589076439235,-0.154688193855121,0.690795078968699,91000032,5000,5000,"hal_aipw_mc20",8
"AIPW","Proposed",0.478553569000462,0.373880846502127,-0.104672722498335,0.781272715786112,0.000261243747221838,2.03047636149627e-05,0.000492992733024032,0.000713626953015945,0.00271043134747945,0.500277270294356,0.345589076439235,-0.154688193855121,0.690795078968699,91000032,5000,5000,"hal_aipw_mc20",8
"AIPW","Naive",0.447228595425605,0.348917622512751,-0.0983109729128541,0.78017735467184,0.00302623522424726,0.000507676541499104,0.00390140577415706,0.00591228791540611,0.0247545852717044,0.49815153137096,0.342828855945726,-0.155322675425234,0.688201951326394,91000033,500,500,"hal_aipw_mc20",9
